Tabela,Registros,Colunas,Memoria (MB)
orders,99441.0,8.0,52.93727684020996
customers,99441.0,5.0,26.58640480041504
products,32951.0,9.0,6.296564102172852
order_items,112650.0,7.0,35.98964881896973
order_payments,103886.0,5.0,16.22941303253174
order_reviews,99224.0,7.0,39.12477684020996
sellers,3095.0,4.0,0.5881032943725586
